title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
"Pathways towards a carbon-free energy system: Technological advances, policy barriers, and integrated decarbonization strategies",https://www.sciencedirect.com/science/article/pii/S0306261926012043?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128548,Praveen Barmavatu,,,
Global trade responses to shark finning regulations,https://www.nature.com/articles/s41467-026-75625-1,,Earth and environmental sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Gavin G. McDonald,,"Global shark mortality continues to rise despite increasing regulations aimed at limiting shark fishing and trade. Regulatory measures may influence shark product markets, but this relationship has been difficult to quantify because of fragmented and poorly resolved data. We present a global analysis evaluating the effects of domestic shark finning regulations on trade in shark products across 188 countries. Using causal inference methods and the Aquatic Resource Trade in Species database (2007–2020), we find weak and statistically insignificant effects of finning regulations on overall shark trade volumes. However, long-term trends suggest that countries adopting finning regulations tend to reduce exports, modestly increase imports, and maintain relatively stable domestic consumption. Our framework provides a broader approach for investigating the economic pathways and drivers of mortality associated with sharks and other traded wildlife species.",nature_html
Intracellular ‘gobstoppers’ enable programmed cargo release,https://www.nature.com/articles/s41565-026-02231-z,,Nature Nanotechnology,2026-07-31 00:00:00+00:00,10.1038/s41565-026-02231-z,Christopher D. Snow,,"Living cells are engineered as microscale factories that grow programmable protein crystals with concentric layers, each capable of carrying distinct nanoscale cargo and dissolving sequentially to enable precisely timed, multi-stage payload release.",rss_nature
Diffusion-like overpotentials from non-diffusion mechanisms in battery particles,https://www.nature.com/articles/s41560-026-02118-2,,Nature Energy,2026-07-31 00:00:00+00:00,10.1038/s41560-026-02118-2,Stephen Dongmin Kang,,Low-frequency electrochemical responses in lithium-ion battery electrodes are widely interpreted as signatures of solid-state lithium diffusion. Here the authors show that electrolyte penetration in porous cathode particles can generate similar diffusion-like behaviour independent of bulk diffusion.,rss_nature
Valve-strain-enabled staged early warning of overheating-induced thermal runaway in LiFePO4 energy storage cells,https://www.sciencedirect.com/science/article/pii/S0306261926011803?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,,Zhirong Wang,,,
The impact of solar photovoltaics on the energy-industry transition in the Nordic and Baltic countries,https://www.sciencedirect.com/science/article/pii/S0306261926011311?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128475,Christian Breyer,,,
Operando investigation of current density distribution in a large-area vanadium redox flow battery,https://www.sciencedirect.com/science/article/pii/S0306261926012134?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128557,Cong Yin,,,
Green hydrogen to power scheduling in a large power grid with network constraints,https://www.sciencedirect.com/science/article/pii/S0306261926010901?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-31 00:00:00+00:00,10.1016/j.apenergy.2026.128436,Mithulananthan Nadarajah,,,
"Lower speciation, not higher extinction, drove African megaherbivore diversity collapse",https://www.nature.com/articles/s41467-026-76105-2,,Earth and environmental sciences : Nature Communications subject feeds,2026-07-31 00:00:00+00:00,,Oscar Sanisidro,,"Today’s ecosystems are severely depleted in megaherbivores (≥ 1000 kg) and lack many of the ecological functions once provided by these landscape engineers. Whether attributed to humans or climate, prevailing views of megaherbivore decline have focused on size-biased extinction (i.e., higher extinction rates among the largest species) while neglecting the role of speciation rates. To fully contextualize the decline of African megaherbivores, we examine 23 million years (Myrs) of African ungulate diversification using neural network models. Starting around 7.2 million years ago (Ma), African ungulate faunas witnessed overall accelerations in speciation and extinction rates. While speciation plateaued after 3.6 Ma, extinction rates increased sharply at the onset of the Pleistocene (2.58 Ma), leading to widespread diversity losses across herbivore guilds. Yet, we find that extinction rates are intrinsically lower in large-size lineages and in larger species within families. High-crowned dentitions, which last longer under hard, abrasive diets, are also associated with a suppression of extinction rates. Importantly, speciation rates in the largest herbivores are intrinsically low, and in some lineages were suppressed in response to increasing aridification during the last 5 Myrs. Our findings highlight the macroevolutionary complexity behind megaherbivore decline, advancing understanding of biotic crises involving large-bodied taxa.",nature_html
Microbiota matter,https://www.nature.com/articles/s41563-026-02699-z,,Nature Materials,2026-07-31 00:00:00+00:00,10.1038/s41563-026-02699-z,Horacio Cabral,,"Gut microbiota shapes nanomedicine fate by regulating hepatic clearance, with implications for tumour delivery.",rss_nature
